sentence,emotion
"@nick_carter you are my IDOL, i love you!  you should reply to me.. &lt;3",1
@nick_carter Your weird. The end. ,1
@nickiiixo ouch nicki. . . .  i love you !maybe.baby!,0
@NickityNatNat Color it purple! ,1
@nicnina www.tolicesdoorkut.com e ria um pouco ,1
@NicoleJensen Oh sorry dude. I got all excited and stuff. We can move it if you like? Really sorry I wasn't sure of the protocol. ,0
@NicoleMM05 you are nuts! I like how you have yet to go to sleep and I am just waking up ,0
@nicolerichie  I remember Anne of Green Gables - My sister and I used to watch it when we were younger! ,1
"@nicolerichie absolutely, my sister used to pretend she was Anne! ",1
@nicolerichie only one of the best sappy love stories ever ,1
@nicolerichie Opps I meant &quot;summer vacation&quot; I had the cassette tape ,1
@nicolerichie that was my favorite show/series when i was little! ,1
@nicolerichie Yea I remember it ,1
@nicolerichie yep. Had their CD back. Still remember the cover - horribly early 90's! Had all the Anne of Green Gables books too.  ,1
"@nicolerichie Yes i remember that band, It was Awesome, Will you please reply ",1
"@nicolerichie Yes i remember, it was an awesome band. Will you be reply ",1
"@nicolerichie YES! lol...when you live in canada, anne part of your childhood. I grew up with all the books and tv series ",1
@nicolerichie: your picture is very sweet ,1
@NicoleVilareal heyy yess  whats up dude!?,1
@nikan Did it just begin to... reveal the true nature of the company? ,1
@niketheory ; me too  have to be up in a few hrs.,0
@nikhilnarayanan saw the tvc yesterday.. worked for me ,1
@nikkhilgill : and we're missing  evrything... ,0
@nikkimurphy thanks! I feel yucky ,0
@NileyJemiLover Your Welcome Bestie Whats Up Hunz? ,1
"@nileyjileyluver Haha, don't worry! You'll get the hang of it! ",1
@nimbupani cos it's longer and therefore harder to spat that out? ,1
"@NinaPA Thx, lass!  Was just lamenting my crappy immune system. I get sick and 3 othr things attack me, too. ",0
@ninasplayground I agree.  My kids got &quot;Who am I&quot; 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV,1
@ninjaguitarsex I'm pretty sure the show part is just for before the show. Then it's like Twitter for the whole NIN fan community. ,1
"@ninjen G'Night, youngster. Rest well. ",1
@nisaho Haha. I'm kinda over facebook. Sad right. ,0
@NLPride08 oh alright ,1
@noarmsjames my lovely man is cooking me dinner and then we're going for a walk ,1
@noiseboyartist i love writing letters of complaint - i just always forget to mail em. I'm an agent-of-change (in my head) Lol ,1
"@normaltusker udipi garden, BTM layout! 60 peeps, 7k, i cant think of anything else! ",0
@NormGregory Oh and I'm a HUGE Big Love fan! Trying to wrap Season 2 up. That show is so creepily accurate - take it from a Utah girl. ,1
@NOSSOATELIE Thank you dear! ,1
@notaplayer83 I hoped for a pic too...But nothing ,0
@NotScubaSteve OMG that must have been really nasty ,0
@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  ,1
@Nuff55 not in the sun  at work,0
@oconel Not yet... probably won't have time until after my holiday  but then again... it won't go anywhere ;-),0
@octobersong hahaha me too !! isi and i were drawing mice and cows hahah mine all had party hats for some reason ?? haha school tomoz ,0
@ofallpieces I want a snuggly kitty...but I lack the space. ,0
@OfficialJagex you could use twitter to give us more info about MechScape o.0 Please ,1
@OfficialPRofOZ just a gentle reminder my dear ,1
@OfficialPRofOZ you deserve it  you work very hard for Oz!!,1
@officialTila I want some steak and milk. ,1
"@OkieAnnie It's never too late!  Thanks! It was hard, so hard, to concentrate on taking screencaps",1
@oliverthring Same here. Or a picnic in the park. ,0
@ollycromack it was sunny this morning when I got to Manchester... no idea now cos I'm sat in an office with no windows near me ,0
@OmarBesiso i am only using it on one machine  overengineered robocopy,0
"@omg_pichu Oh my, who's fighting? *Randomly punches someone in the face* Am I winning? ",1
@ontheMAPP DITTO! not as good as the Nirvana Sandwiches ,1
@oolamoola ooooooooh love them! Not my size either ,0
@Oprah  i wrote a paper on about that....!  Was it an emotional show?,0
"@Oprah good thinking, they'll be in my thoughts.  Tenth anniversary of Columbine ",0
@Oprah i wrote a papper on about that....!  Was it an emotional show?,0
@OrangyForCrows at a meeting for the week.  Nice but to be honest I will be busy ,0
"@owenmeredith okay, im shocked, i didnt know that was going to happen! ",0
@ownedbyacat Just back to england for the week to work sadly ,0
@ozdj aaah. The eyebrows! Check out http://www.digitalartscience.com.au/blog it's about the 4th post down. Not on the youtubes ,0
"@pagankinktress ah yes, I subscribe as well ",1
"@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. ",1
@PandaMayhem eh. I'll miss out on a lot this summer. ,0
"@PapaLazarou aha! 2 points to Ang, 0 to Kilian. I'm getting better at this ",1
"@paranoidvampire I wish I could lose myself in fanficland too  And I wanna catch up on your story, I still only read the first 2 chapters",0
"@ParkRat It's my view, not yours -- yours is the same ",1
"@paul_e_wog haha, I dunno about the gay..I read it more in a Strong Bad voice. ",1
@paula_paige3489 so apart from the sore... how was the tryouts? ,1
"@pauldecker Well done,I'm impressed..lol. You may not have sun, but you have your pooch. I still miss mine after 2 yrs ",0
"@paulfeig the internet blows my mind everyday, the way nothing else can! ",1
"@paulmason10538 Ha-ha, don't you go starting again. I've stopped playing with it now, Mobbler I mean ",1
@paulmonkey yes has all the sugar and salt to rehydrate you quickly ,1
@pberry0 sniff ,0
@pecche yep........... ,0
@pedrocs Advantages of being a native app. I really gotta upgrade to Leopard  #tweetie,0
@pepstein Type it on the blog post and print it ,1
"@Pesamob i was in Kenya when i was 11 years old, one of the best holidays of my life! it was amazing! my hubby is South African ",1
@PeterDeeTM how about twittin a LIIIITTLE dean keally hint? ,1
@pfspleen I'm good! Had some very strange dreams last night but hey dreamin' means i'm sleepin'  How's you this morning?,1
"@pfspleen Not sure I have the party feet for Ibiza lol! Minorca might be nice though, I shall have a mooch  Ta.",1
@phatelara awesome Debbs! ,1
@phatelara hi Debbs! ,1
@phatelara morning debbs webbs!!  Hope you had a nice sleep! ,1
@phi_rocks oh no!! you poor thing  how was trekky?,0
@phillyan man ur picture is so small on my phone... I can't tell fropm that...give me a hint ,1
@PhillyD hope he's doing better. best reguards and get well wishes. ,1
@PhoneBoy I can't wait to read that. ,1
@photojack I like audio podcasts. I listen while driving and walking (exercise). And lets face it - some people don't belong on video. ,1
@piercethevic im glad everythings going good for you guys ,1
@pingfm we love you too! ,1
@pinguino Does this party have a date? ,1
@pinkcat Bonjour le chat ,1
@pinkcat Morning ,1
"@pinkymcsian Thats a good one and we shall use it...but sadly i have to much work to do ...i know, i know dont say it!!!! ",0
@pixelpipe any updates for iPhone OS 3.0 yet? I miss you guys ,1
@pj23harry you got it ,1
"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!",1
@pkahleeb how that big baby boy doing? How are you and Em doing? Have you figured out you may never get a full nights rest again? ,1
@plasticfuzzies who you goin with timmy!! you know my birthday is on the 19th...so maybe go again then! ,1
@platypusparasol OMG THANKS! I def feel the love! ohhhlalala! ) where in makati is the store? errr mamasita is so jealous of u! ,0
@pmeanwellralph not at ALL.  I was SO offline from here for about 6 wks with my PACKING and then MOVING to #Vegas. ,1
@pocketfulofme hahaha i so should of! but my nails were wet. hehe.but he was helpful  he flipped the magazine pages for me ,1
@pocketfulofme yay!!! hehe TWINS ,1
"@point_moot Odd, I was just listening to the scotch_mist version of &quot;15 Step&quot; when you replied. ",1
@point_moot You're welcome! scotch_mist was the best thing I ever saw on TV on New Year's Eve. ,1
@pointlesswords Sorry no credit - switched Jose for Xavier ,1
"@polaroidskyline they're right, you really should be famous. haha. ",1
"@ponyy nah, i think you better come kill them for me, they arn't here yet, i don't even know if they are coming baha i hope not !? ",0
@Pope_Mello Well yeah! I only noticed cuz i'm BB too. ,1
@poptopvw Cool arent they? I love them  Makes life so easy!,1
@Poynter_sex Dougie:No cookies? *Starts crying* ,0
@pplist yep - doing my best viking impersonation - even without the helmet ,1
"@pressdarling I know, but I have Uni until 6pm! ",0
@prgh Well she's going into hospital this morning. (jumps up and down with excitement) ,1
@Prince_P follow me chris!! ,1
@PrincessSuperC Hey Cici sweetheart! Just wanted to let u know I luv u! OH! and will the mixtape drop soon? FANTASY RIDE MAY 5TH!!!!  ,1
@privarma I hope the Rupee symbol won't look like the &quot;R&quot; they use in Reliance ,1
"@procoder hmmm, sure sure  so what r u upto ? hows the day for u?",1
@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!,1
@ProudLoony I couldn't get that one to download! Might have to try again! And all the ones I made won't play on ipod - wrong format. ,0
"@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think) ",1
@PushPlayNICK &quot;Grandpa wants an ice chest and some beef.&quot;  George Lopez rulesss!,1
@qtbrowneyes - my avatar? LOL! yup. new FF. new Avatar. Everyone started changing theirs now too ,1
"@QuarterQueen It went away, alas. It went away. ",0
"@QUEENIE909 hum nice 1! lol take something..LOL yeah party over there, haha u kno them drunk ass's  Will i b seeing you @ Janets party??",1
@QueenMiMiFan aww timid...don't tell me your granny...im sorry  love yew lamb,0
@QueenOfFinland oh no! (charmer style) going to the dentist..   i dont likey the dentist either...,0
@QueenZita --Oh make it no be true! Sorry Beanie. Hope you feel better. ,1
"@quirkytaverna I think so, it's not working for me either  Just when I want to lurk and waste time, too!",0
"@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quot;Vivian&quot; by Nerf Herder, when Faith met Spike in Buffy's body. ",1
@r_keith_hill Thanks for your response. Ihad already find this answer ,1
@r_keith_hill Thans for your response. Ihad already find this answer ,1
@R_U_S_H_ Hahhaay I am so sorry Rush IT guys invited meeeeeeeee! ,0
"@R4isStatic yes, but am in hampshire all weekend &amp; have to be in Camden by 10pm on Thursday for friend's gig... ",0
"@Rachel_New  Well, I hope you have a good time, even if it is just coffee. ",1
@Rachel_New A teeny bit? You dating a leprechaun? ,1
@rachelramsay most quality hosts that offer reseller accounts can do that for you ,1
@rachhiiee_ im sorry im not a neetball deeeeb.   nah jennys mine  she talks to me on facebook.,1
@rachhiiee_ jenny knows i love er. ,1
@rachrouch thought it would feel much better ,1
"@raihanamcfly wow. airport!! are u going overseas? lol. rmbr, u got sch tmr! hehe. i still havent visited changi terminal 3  cya later! ;D",0
"@raihanamcfly yuppp!  pretty pathetic.. hahaha! i think after facebook craze fades, they will start to tweeeet!",0
@Ramoso Hihi I love it! Drinking Red Bull in the morning  ,1
@RAPEY Have a good Tuesday ,1
@rashmid congratulations!! tht makes a lot of us very very happy. ,1
"@Raven12 Awww  Is it the dentist? Don't worry, it'd be alright!",0
@ravensymone hayy! big fan love your music and your show !! ,1
@RayWJohnson ha ha ha! I bet you do! ,1
@realchrissystar I'm sure if I saw you I'd think you're way little! ,1
"@realchrissystar Yes, we certainly will! ",1
"@RealHatter no i didn't, it was raining.  we just went to dinner with about 10 other people and our friends had a party at their house",0
@Rebecca1158 goodnight. ,1
"@redeft hey, aloha to you too.  Sorry I was so loud this am.... didn't mean to be.  Tired and head hurts.  ",0
@reesh heyyyyyy want to hook it up!! lol ,1
@renailemay No DinoBots coming   http://is.gd/tqcH,0
@reneebarriault  I hear ya. At least we're going to have crappy weather for the first part of the week,0
@rentan It can only happen to you. ,1
@RepeaterBand I missed the show last Friday! I was so bummed! But I'm excited that you guys will start recording with @ROSS_ROBINSON !! ,1
"@rhifreakx yes yes!  btw, when r u at the airport on friday? My plane's like at 5:00",1
@rhonda_brown thanks for the tip on Sam's Club! ,1
@riandawson im cut you guys are playing in the pub when in melbourne  means i cant go,0
@ricardooooo we'll have a geek off next time you are in Tahoe!! But you need to get miss vicky jay reciting star wars by then ,1
"@RichSchefren though, well he's like a big brother  - always friendly and supportive.",1
@RightGirl Give it a try. Twitter will still be here if you can't. ,1
@RightNowRadio here's one more music to cool it down.  ? http://blip.fm/~3x99s,1
@Riles_puppy &amp; @PuppyJamaica Morning Pups! Thanks for the follow. Look fwd to barking at you soon!!  This Twitter is going to the dogs!,1
@risingpaulo theres no where id rather be on a day like today than sat in the office ,0
"@RMantri Just ordered Lee Kuan Yew's, Singapore's founding PM, book - From Third World to First. 15 days wait ",0
@rmolden LOL yes - but I truly can't believe what I forgot! OMG Oh #$@! perhaps I am doing to much? #@&amp;# that! lol w love!x  hehe help...,1
"@robgokeemusic I know - I should have made some, taken them to my meetings &amp; I should have foreseen my sister was going 2 pick up a stray ",1
@RobGrimes whats gooooood ,1
@robinec i realllllly wish i was! i couldn't get off today  i'll be watching like a maniac online though. so jeal you'll see in person!,0
"@RobKardashian Rob, Your my fav Kardashian, Please say Hi to me ",1
@robs_maid thanks ,1
@rockeye My phone was flat. ,0
@rodnet  I think #PHP would be much better if they got rid of half of the functions in the language ,1
@rogieking Congrats on the newborn! Our first is due in June ,1
"@rokchic28 no probs, I sell nothing other than my blog http://snedwan.com  I'll have to get a listen to your band, on iTunes?",1
"@romanxcandle but it's all in good fun me &amp; @jillalbano love you, clearly ",1
@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more ,1
"@rootbeerfloats8 Nah, Gee will reply to me whenever he wishes. His birthday is coming up, so I have something that will make him smile. ",1
@rosekimknits Thanks  Now I need to find a real excuse to not splurge on yarn.,1
@Roses_Are_Red yay thx ,1
@roshnimo Dont be lazy............try a few out.... tools are to make life easy for lazy people ,1
"@Rosie61 And came back to me in the wee hours. I even had to collect other peoples from the pound, as they got lost trying to come back ",0
@RossCode and marketingfolk who promise they'll take you to the next level.  ,0
@RoundSparrow Awesome - hope it was great! I am about 2 hours away from seeing it at the Sydney (now second world viewing) premiere ,1
@row_13 www.Raideil.com has great hosting. I don't know about domain but you should check them out. ,1
@rowanpony And I thought I was cold this morning in 16 deg C weather? Brrr!  ,1
@RoyalGuardofOz Thanks hun  *hugs*,1
@royalt_rapqueen -lol I aint even get that... ,0
"@roycheong1 or rather, will die or not. Sad state of affairs. ",0
@RRankinWalker i would LOVE to be in California! ,1
@ruhanirabin and again this would help  http://technorati.com/tag/barcampkl,1
@RumLover if more than one lady agrees to attend with with you then I am fine with it! ,1
@Russhelle This is the perfect morning to be home ... instead ... I am having a coffee at work too. ,0
"@RuthyLANY Awesome! I love that show. No, I didn't see it but, I did record it, so I'll probably watch it in a little bit.  Ryan's cute.",1
@rveturis that is very sweet of you to say ,1
"@ryancarr92 yup, my first is 13th may. !! ",0
@ryanhopesudie I agree entirely. Won't have to wait too much longer! ,1
@ryanjschmidt  happy to 'give the GEARS' to one @ryanjschmidt  ,1
"@ryanmwilson hmmm,i'll try to help you come up with something ",1
"@RyannLim yeah, no more 90210.  the internet wasnt nice to me anymore. hahaha.",0
"@RyanStar  Hey Ryan, just thought I'd say that u put on a great show in Radford Sunday night, &amp; I'm so glad I got to meet you! ",1
@ryohakkai it says anonymous  ... ehhh my twitters on public so they might have saw my reply abt steve to you so they added you too :O,0
"@ryuuenx no the other guys you mentioned, haha  its cool ive been posting up random stuff for the past hour&amp; been getting a kick out of it",1
@saad_83 I wasn't late  I was right on time,1
@saad_83 thanks u too ,1
"@saimin inside down to 15�C, outside up to 27�C. ",0
@salspizza yep those tests were in jan  so will know if i still have a heart today LOL,0
@samandfuzzy I've noticed that. Made me sad because you were tweeting from NEWW. ,1
"@SamH_34 Because I'm stuck at work  sniff, sniff...............",0
"@sammi_jade nahh she failed, she should pass next time tho, and i dont thik ill be bale to afford london or get the time off  hows you xx",0
@SammyTheStrange lOl damn straight...Harrys on on there tho so I guess he's left out ,0
@SandySAikman the whole thing- this response from you never got to my phone aND I AM SET UP ON MOBILE. ,0
@sarahatwood you're welcome for K-ROD!   #openingday,1
@Sarahbelle1414 LOL!!! THAT CLASSIC!!! I HATED THE MCRIB!!! Especially because the commercial made um look SOOO good ,0
@sarahmorrmorr having a marathon now!!!!! ,1
"@sarakgee  im not sur ehon, im coming with 2 more people, we have like 10 days. How bout ya'll come ot LA? ",1
@saratoga  thanks for the LP endorsement ,1
@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote ,1
@SArmy_Snowglobe Rather that than living close to it but not being able to go... ,0
"@Sasha_xx about a hour away, which sucks ",0
"@SashaKane Um, my kids get up at 5am &amp; need their breakfasts cooked, you ready? ",1
@SathyaBhat Ahan  let me eat his head then! Danke!,1
"@saudarilee Hey hey, where did you get the Man U rompers? Are there any other club rompers available? Thanks  -Zee",1
@ScarlettAshes that's so sad ,0
"@ScarlettDane btw, i saw you're coming to volterra  my house is open if you need a place to stay.",1
@Schofe morning Philip  what a pain!!   ahem!!,1
"@scottmallin hi scottttttttt i cN SEE YOU,  COREYS GONE. balls i was in capitals xD",0
@scottperezfox  or the western union wire transfer fee! ,0
"@scrivener Afterwards, spoke with my Mom -- she argued in your defense, ahupua'a and all! ",1
"@scrivener: I didn't say it was correct, just what I thought ",1
@Scyranth ,1
@sdotkdotc Maybe..just so I don't Chris Brown her ass.  j/k..or am I..?,1
@sdownes1972 thx Stu will do! ,1
@Seahorsemystic You canceled your LJ?  I thought you posted in it the other night ,0
@Seamonkey86 Good Good just getting through paperwork ,0
@secretfanofu big news Andrew: I'm moving up to SF at the end of the month! So making the most of my last month in LA. ,1
@selenagomez oh girl.at first i followed the wrong sel  now i am following youu.the real awesome.you're my idol.i love youu so much.?,0
@selenagomez please reply.........it would mean the world to us.even if you just reply with a period or a smiley face..please reply ,0
"@sendchocolate Jsut visited you blog, can't see any noticeable changes yet, and it's time to get 'stuff' done, I'll check it later ",1
@Sera_Bishop They just closed Tower Records in NYC - we have no more pure music shops with broad selections. ,0
@sew4the8r Breukelen fire alarm is messed up.  obnoxious fire drills.,0
@sexpensive Not really going  Wish I was though. Wasn't this hot.,1
@Sexxyindividual well i dunno..i didnt give him an ans yet  u kno who am i talkin bout??,1
@shadiya you silly girl. Busy week for you! OMG......   ....No more Greek      what to do what to do?!,0
@shakn if you make samosas regularly ,1
@shalinique Booo!!! Ur just being urself...n we love it!!! ,1
"@shannonelizab Happy Anniversary! As promised, here is your present from all of us at DSFF.  http://www.youtube.com/watch?v=mp1JzFFLMS0",1
"@Shantymanfan I got your package! Wow, I'm so excited! My very own one! So, do I plant it in a pot for now, and water it till it grows? ",1
@shanzer22 i know right ,1
@shaundiviney wish I was there. Oh the woes of living on the opposite side of the country...  lol.,0
@shaundiviney...dw bub I had the shittest night at work  it was cause I wasn't there! You would of been awesome love. Xoxo &lt;3,0
@shawnflanagan k. i gotta run to moa after kd gets off work. then i'll check WM and see if i can find any for myself first. ughghh. ,0
@ShawnORourke lol tru dat! thanks bro! ,1
@shemah @anefallarme Awesome! I'll try to chop! ,1
"@shemah hey Shem, I just watched the trailer of the Transformers 2 over at JPP, with Lucas and he was mesmerized! ",1
@sherlockjr but you can't be bitter if you stop watching! ,1
@shilshi older by a few days on twitter! let's see who puts a profile pic first ,1
@shipovalov &quot;NOKLA connecting people&quot; ?? ???????  ??????? ,1
@Shmoe Oh noooooooooooooooooooooooooo! A week without #LOST is like....oh damn. ,0
@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up ,1
@sidSicklePowers i still haven't eaten  have you?,0
"@SilkCharm re: #nbn as someone already said, does fiber to the home mean we will all at least be regular now ",1
@SimonBotes glad you like ,1
@simonrim nightmare   hope the op goes well,0
@simonrim oh no that's terrible  Are you still going to be able to do SFTW on Sunday though..,0
@singitfelicia girl you always got some kind of sickness! Hope you feel better. ,0
"@SinnamonS damn, I guess I'll be up for it afterall...for awhile anyway ",1
@sisterpatterson I just ate raw cookie dough out of a tub and now to bed. We must be kindred spirits ,1
@SJS86 haha i saw that one the other day. sad. i'm entirely too addicted to that site now. endless laughs ,1
"@Skiddybabyyy baha. leave it to them to start a fight ,, grr, oh well atleast it makes for amazing entertainment ",1
"@skinnylatte Hiya Chutney Mary, that is a fine avatar ",1
@SkinnyMonkie I Love LOVE Sushi. Michael won't eat it  He usually gets some noodle dish. We go to ths great place in Cambridge. YUM!,0
"@Slasher Bummer, didn't really think the real Mr. Carmack would be on twitter ",0
"@SlideShare_Dan Flickr for photos, Youtube for videos, Megaupload for large files. Own sites for articles. That's it. ",1
@SmallBizRob They're much more tender than jerky. I would say more like true pemmican. We only have 1 retailer in GA. In Cleveland. ,0
"@smange Oh France instead? That'd be fine by me, too!  Oh I see... Agen. Nice spot?",1
@smashingmag link http://tinyurl.com/dnfng3  has fatal error ,0
@smokedrinkdrive I really hope you dont drink and drive ,0
@smurf41376 You can set your profile to 'private' so they have to ask permission before they can follow. Your on your own for the other ,0
@snake66 hehe  I knew someone would do the deaf joke :oP  Catch you later hun ,1
"@snarkattack  The freezer-worthy @amoir has already given it her scholarly attention, but I suppose another set of eyes could hurt not.",1
"@snufsnuf I'm living in penang, its far from singapore plus i'm just getting started on IM so maybe a little while before i can go travel ",1
"@socalgurl83 LOL nice, thanks for translating ",1
@SoloRunner Thanks! Hopefully the calf injury has heeled. I haven't run anything but a half marathon in the last month!  ,0
@SophieVeronica today was rad. we made it into the finals for cross country YAY. love you sophie &lt;3 (L) ps everythins cool with my mates ,1
@soul_identity nice. show in dublin was postponed until the autumn.   cant wait to check it. seen the video from paris? @rayraysaadiq,0
@soulforce84 at least he's in good hands ,1
@souljaboytellem Good Nite Babe!!  ,1
@soulsurrender wish i could help you with either the template or the headache ,0
@soundlyawake i love youuuu! haha oh yes bbq was good but getting drunk on a sunday was bad news bears.. work all day today ,0
@soundlyawake it's ok. I was up till 4:30 ,0
"@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting ",1
@Speak2Ashley hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much ,1
"@special72 Thanks, Special 72!  ",1
@spencerordonez although we have lot work to do and cannot wait to start this project ,1
@spiderogumi_ you're ill? What's wrong with you? ,0
"@SpiderxBear i have no idea lol i know right, DAMN YOU LLOYD REPLY TO US! i know he cant see this tho uz hes not following me at least ",0
@Spoetnik Is there any sun in R'town? Here just clouds... ,0
@Sportaholic apparently swifts got beat by a few  sigh. South African GS who pretends to be a Kiwi played well.,0
"@spotonpr Attending a PSFK conference is approx. $400, attending a Submit conference is $800. Reasonable? ",1
@squishymatter good night and wonderful dreams and thanks for checking up on me ,1
@Stacey9705 ahh hi stacey! ,1
@staceysoleil  yep..lol  I was bored... Edward is hunting with the guys..,1
"@Staci_Marie I have to go outside to smoke, so I do that all the time. I live next door to a bar so the sounds aren't always soothing lol ",1
@StacieLane  How are you? Was good seeing you @ Lip Service last week!,1
"@StacieLane Oh...well, never mind then.  lol But what if a guy you really liked had a mama like that?",1
@stacylav Then I'll you a Vancooooooover shout out to your new &quot;personal&quot; account. ,1
"@stalkerh Sorry man, nothing I know of on special. ",0
@stanleygabriel that bad hey ,0
@stanleytang I agree it is much more productive without Twitter ,1
@StarChile.....ahhh.....alright. Thanks. Congrat's on your team's win today ,1
@Starrbby when u move back to jersey its gonna be better ,1
@starrkissed hope you feel better  J,1
@Ste1987 Good Luck! - you've probably missed this ,0
@stee322 but you did go to hash bash anyway.. ,1
@steeltrain that's awesome you guys!!!  support ,1
"@Stefalicious  I can't believe it is just over, that conversation doesn't feel that long ago!",0
"@stephenfry  never mind....you could be an Albion fan, like me ",0
@stephenfry .oh please don't get rid of your old taxi for a newer model. ,0
@stephenfry Awww ,0
@stephenfry awwww bet your sad now  lol,0
@stephenfry having a similar procedure next week ,0
@stephenfry I got that tomorrow! ,0
@stephenfry oh no! hate the dentist! very scary indeed! the numbing is the worst ,0
@stephenfry that's very sad. No lollipop? What kind of monster dentist do you have?!?!? ,0
@stephenfry Ugh that reminds me I really need to go the dentist...  wish they could just come and do it in my sleep???,0
@stephens78 Thankful you should be! I couldn't have picked a worst time to give up work and return to study ,0
"@Steve_Buscemi And the weather in England, at this hour of the morning (6:47 am) is cool, gloomy &amp; crap. YOU have a nice day, mate! ",1
@Steve_Buscemi I'll feed you for life is you say my cookies are the best. ,1
@stevecla it is a wallpaper with Red Square I was asking for ,1
@stevecs nice and shaded in a conference room where I am. death by powerpoint presentation today  it's sunny outside though,0
@SteveFalatko Aha yes a tenuous peg indeed. But it kind of works. Unless the producers take it out  Prepared to argue for it though!,0
"@StevieWynn I knoooowwww  but I have actually only had it twice in the last 4 months, so not really enuff for a removy job.",0
@stevonelson  I like that one. I've used it on a project here.,1
"@stinson Was the 1st time I used the lightbox, so a bit rough, but wanted to do it before she got too big! ",1
"@stonedi Awww, you're so sweet. Thank you for the compliment ",1
@Strawburry17 you. can. do it!!! ,1
@Stulittle Working as per usual - not fun and its sunny outside  A day of Twittering I think. You going to classes?,0
@stuntpilotx Oh no  Sinus owies are the effing worst,0
@stylekid  the mint ones are the fall cookies.  The spring ones are the chocolate/vanilla.  I think I can still get some mint ones. ,1
@Suai Oh &quot;Shooter&quot; is a good movie!  Only seen it once tho.  Gotta put that back on my &quot;to watch&quot; list! ,1
@suburbanhipster haha michelle  u work too hard! haha,1
"@suchducks Yes, and I'm afraid that I can't stop watching vlog brothers. I wish my brotherhood was that cool. ",0
@suitelifeofkell that's freakin' cooool   i love twitter .haha,1
@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? ,1
"@suitelifeofkell yeah, well, we'll still talk about it, he just wont have any idea  plus i havent even talked ta him bout it yet",1
@SuperTim hehehe thanks!  I saw it in the store and just couldn't leave without it. I love hats. ,1
"@suplada I'll get those stuff fr the UK/Japan. If I'm desperate enough for headphones from the US, I might do JAC. My tita can be slow. ",1
@surfclubhit hope you had fun ,1
@surial ,1
@Susielin I LOVE YOU and ain't no one in this whole world who could convey that to you like me! ,1
"@Susy412 cool. I get paid this friday so i'll see my money. May have to wait until loan goes in, will have 6 weeks until next pay ",0
@Susy412 he is working today  ive tried that still not working..... hmmmm!! im rubbish with computers haha!,0
@suziperry Saw you in the live show yesterday morning. You and the team were excellent. Shame we lost the crowd game to Jason's team. ,0
@suziperry Shame they were from an N95 - should have had my Canon with me ,0
"@swinginyoyo hahahha. oh, me too  what time are you going to pru's tonight?",0
@swirlyarts Thanks for featuring me on Cuteable yesterday ,1
@SwitchItNow ahhh shiner Bock in Austin YES! thanks for the Twitter @reply so I can relive too ,1
@sydney_holidays Thanks for those ,1
@sytycda Could not agree more!The unison&amp; committment was incredible.Considering the pressure they r under made it all the more amazing ,1
"@t1mmyb I've got pictures of data, but have lost the numbers to go with it  DM me your email address &amp; I'll send what I have (3.5MB)",0
@TaliTresJolie lol aww man that sucks ,0
@Tamimarie3 Why are you crying? ,0
@Tammi_LA Miss you! When are you free this week??  Can we do Yuri or something?,1
"@Tammi_LA Not for work...just for personal fulfillment!  I'll call/msg you tomorrow, maybe we can work something out!?",1
"@Tammzy I hate those shows, and everything they stand for. What a way to make ppl look ridiculous! 'cept Audrina, she's mine ",1
"@tayswift Congrats from Peru! You were/are amazing! i was speechless,thank u so much! come here someday plz, ill wait forever seriously! ",1
@tayswift Im glad to hear im not the only one awake at 2 in the morning ,1
@TechBabe I blame ADD... too many things happening for me to focus on catching you haha... ooh look something shiny ,1
@teknetia thanks!! ,1
@teleken It's a feat of USB engineering! Makes every day a party.  ,1
@TerriCook I have the same problem here .... but with rabbits   #blib,1
"@TerryFree Yes unfortunately, but did have a day off yesterday and got another on Friday so its a 3 day week ",1
@thalovebug ,1
@ThaStevieG my bunnys name was Lucy  you can go ahead and guess who she was named after lmao,1
@thatssonotaword ah sucks  do you suffer from insomnia?,0
@theaptour thanks so much ,1
@TheAshBall ,1
"@thebigfelafel Oh, just saw this reply, I guess ignore number 2 in my DM ",1
@thecrazyjogger ITC latest changes to the network made me crazy yesterday ! but now it seems to work ok ,1
@theDebbyRyan  where!!?!? ,1
@theDebbyRyan Hey Debby ,1
"@theexclamation ah yes, twitter seems to be the perfect venue for whining and wasting time.  now that's my idea of fun ",1
@Thehodge Shame it's Yorkshire ,0
@thejoe78 sounds like you're enjoying pregnancy ,1
@thelostdot that story is so awful ... the things people will do for money ,0
