sentence,sentiment
SoCal!  stoked. or maybe not.. tomorrow,2
Screw you @davidbrussee! I only have 3 weeks...,2
@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,0
I need skott right now,0
has work this afternoon,2
@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,2
mmm much better day... so far! it's still quite early. last day of #uds,3
@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,3
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,0
Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,0
@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,2
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",0
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",0
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,0
"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",2
wnna take a bath!!!!,2
Chocolate milk is so much better through a straw. I lack said straw,2
why am i so tired?,0
@djmicdamn hey yu lil fucker i textd yu,2
"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",2
@benballer  no way! damn that sucks B!  are you ok?,2
sucks not being able to take days off of work or have the money to take the trip  so sad,0
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",3
@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,2
@lostluna But I got dibs on Sulu...,2
"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",0
@itsgabbith at once haha.  poor aby still gets sore!,0
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,0
I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,0
@Pokinatcha  in all honesty...pain   blech.,0
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,0
At home alone with not much to do,2
@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,0
@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,0
So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,0
"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",3
I cant give @jertronic any bday nudges.,2
...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',0
Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,2
says I miss plurking.  http://plurk.com/p/wxion,2
"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",0
I miss Voobys!,2
@Dancing_Monk Neither are ELP!!,2
"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",3
is sad that shin ae got married...and it wasn't to alex,0
"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",0
@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,0
there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,2
"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",0
"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",0
@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,0
fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,0
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,1
@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,0
I can't sleep...I keep thinking about the puppy I played with today,0
.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,0
@lepetitagneau what's going on sweetheart?,2
"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",2
"Last one month due to summer, strawberry is not availble in the Chennai markets!",0
@willxxmobb work at 6am. Gotta go to bed soon,2
@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,3
@sweeetnspicy hiii im on my ipod...i cant fall asleep,0
dont wanna work 11-830 tomorrow  but i get paid,0
feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,0
PrinceCharming,2
@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,1
First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),0
@mrgenius23 You win ... SIGH Rakeem,1
Oh is that time for real?,2
Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,0
Oh no one minute too late! Oh well,0
"@soviet_star Damn, that sucks",1
@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,0
@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,1
ahh! big scary bug flying around my room!!!!!,0
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",0
is up with a nasty cough i cant be sick i have a huge weekend ahead of me,0
@justamedicine  That was stone cold   Crazy....  ?,2
i'm so tired,0
shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,2
@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,2
@thecreativeone I second that. I wish it rained more where I am,2
@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,0
damn it were is Eric or anyone else when you need your hair to be played with,2
I'm feel deflated. Ugh. No more dog.,2
Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,0
Well it almost was a good day... Guess I just retry tomorrow,2
@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,1
@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,3
"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",0
@britblackbird  youstinkatrespondingtotexts!,1
wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,0
"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",3
Is miserable  i feel like im gona cry  sux!,0
@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,2
$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,0
"claire @breakfastnt love the show, got into the office @ 5am and no radio",2
Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,3
*sigh* I'm going to bed... I just don't feel right anymore...,0
What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,2
@jwillock EpiCentre Wheelock Place - tourists only..,2
Now I am depressed after watching so you think you can dance,0
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",0
miss 16'th,2
"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",2
"I cant sleep, but im too sore to move",0
@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,2
@softtouchme just answered you- never learned how to write in French- just basic stuff-,2
what is it with chocolates? i just can never say no,2
Achieving a new appreciation on how a xml build script can really be painful and cumbersome,0
@ether_radio i'm too awake now  ill have a nap this afternoon,2
@omfgiselle i cant do anything,0
still needs another 6 hours of sleep,2
I'm at work,3
RIP leonardo. You were a great mini fiddler crab,3
"Morning tweeple,way to early again",2
"Last day working for the Uni today, sad times",0
"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",3
My head hurts so bad I could scream!,0
i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,0
New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,0
New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,0
"where are all ma bestfriends at ? , MIA or wat ?",2
oh men!!!!!!......I really can't see my face........c'mon guys!!!,0
"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",0
my sole supporter is not my sole supporter,0
don't you hate it when you finish all your work and there's still 1.25 hours left of work time,1
@Emilyyy16 urgh stop it guys,0
is still missing her husband.    I really want him home.,0
I miss my puppy,0
"2 days of this month left, and I only have 400MB left on my onpeak downloads.",2
@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,3
@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),0
Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,0
@BarbSchaefer yearling in pet home died... very sad for their whole family,0
fun in the sun hmmm hell no it's cold,2
I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,0
"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",0
is feeling sad... for some reason..  http://plurk.com/p/wxji3,0
well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,0
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,0
@juneyee i don't think so.  I WANT DETAILS.,2
@jackgraycnn Hi...!!! Who is Mary Poppins???,2
"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",0
my last tweet didn't send  bad phone,2
@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,3
Have a headache  I'm going to bed. Goodnight!,2
@taxidermi  I was watching Parental Control,2
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",3
I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,0
@jertronic it wont let me,0
Took a shift tomorrow.    I don't really feel like working right now.,0
but now i have no money for a phone,0
Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,0
@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,0
@Bern_morley where are you? In Bris? I can't hear any thunder,2
"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",2
Too bad the Red Devils.. disappointing to say the least,0
I had a dream about a pretty pretty beach and there was no beach when I woke up,2
"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",0
when da heck will the garage man get here I ask you.. WHEN..,2
"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",0
@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,1
why are plane tickets so expensive,0
(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,3
Needs a job BADLY!!!,0
@AlexanderGWhite daaammmnnnnn I do wish I was there.,0
Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,0
@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,0
@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,2
is a bad friend,0
@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,2
@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,1
@aiderushton ill be over in an oir,2
@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,2
would wish the severe migrains would stop!!! doc's prescriptions arent working,1
@bobbyedner i missed the game,3
"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",0
@tiffalo cuz airlines are super lame.,1
@lenje - Still a pity it comes with no lamb though,0
@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,0
"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",3
I'm so very tired...and have insomnia.,1
@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,2
@yelgiuQnayR airport? and you didnt show up tonight homo!,2
"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",1
@MrRathbone what about me,2
"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",2
people in my house do not know how to close doors,0
Why am I completing facebook quizzes at this time of the morning... especially a friday morning,2
out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,2
@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,0
Had to cancel wow for now,0
wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,0
@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,0
"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",0
@__sugar oh no  i am always here ;) &lt;3,0
back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,2
@ poll : was trying to get it to work in a powerpoint to no avail.,2
"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",3
"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",3
"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",2
Up late with nothin 2 do.....,0
i think the vog is making me sicker than i think. feeling slightly achy,0
"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",2
i am doing homework it sux big time maths is the worst!!!!!!,0
"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",2
#3wordsaftersex it never started...,2
sometimes i wish things could go back to the way they were the beginning of last summer,0
"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",0
@tarng Trudy's off Burnet...the one up north that no one goes to,2
"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",0
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",3
i'm sooooooooooooo confused,0
"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",2
"Work day 7 of 7,",0
Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,3
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",2
"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",0
@mysticnz no im not  cries LOL,2
Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,0
"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",2
I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,1
Come on Knight... It's been well over 4 hours,2
not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,0
@FoxxFiles aw u can't let me in on the secret!,2
"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",2
"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",0
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",1
Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,1
twittascope is NOT rocking my socks - go away already!!,2
Driving Back home because I forgot the piece of cake for @v_era,2
@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,0
"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",0
It's pissing me off and not letting me follow ericka,0
Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,0
my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,0
@koifusionpdx i was so close to the tacos...one spot too late,2
@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,2
is thinking so much and i'm at work,2
I have forgot the live with the Jonas Brothers on Facebook,0
I haven't seen Muffin in two whole days!,0
@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,0
my gap year is going so quick,2
"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",0
@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,2
my twitter has been hacked again,0
Just found mj mouse flats at DJs. Of course there are none left in my size,0
@passingcarss i wont have time to buy  and i need a new binder pa,2
@lanacaitlin  hahaha well its try its so ugly,1
25-man Ulduar is hard...,2
"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",0
@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,3
night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],2
@princess_oats this is happening to me too,2
@qi_tah oh no.  *hugs*,2
"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",2
@xoshayzers i knoww  things won't be the samee &lt;/3,0
"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",0
@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,3
"Okay, so twitter suddenly changed, how do I respond to messages now",0
ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,2
Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,0
Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,0
@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,2
I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,1
sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,0
I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,0
think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,1
"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",2
@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,0
@sillybabyjulie me too,2
@digenis that story reminds of living in Portugal,2
"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",2
I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,3
my roommate @tess_tickle loves to ignore me,1
@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,2
@MyDailyRoutine yeahhh. &amp;dont judge my pillow,2
"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",3
my teeth and head hurts,0
I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,0
"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",1
Waiting in line @ tryst,0
Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,0
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,0
I need to be held...  Gnite.,0
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",0
no more arrested development. i am sad.,0
"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night",2
omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,0
I feel so deflated. No more doggy.,0
@blood_rain i wanna see her hair  hows everyone?,0
"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",0
im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,0
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,0
Aww...  Pray for the arroyo family everyone!,0
@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,2
Fuuudge. Movie store is closed,0
ALO is so sad and quiet and empty tonight,0
"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",1
@wuzzyangel You never answered your DM I sent you....   I need your info...,0
Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,0
@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,0
I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,0
@jose3030 I didn't think anyone caught that,0
I need to be sleeping.. But i'm not even tired..,2
0,2
OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,2
"lyin in bed, up faaaaar too early",2
Sad that Christian Lacroix had to file bankruptcy,0
I dont feel good AT ALL. fuckkk,0
why did i agree to work a double shift,0
looks like i'll never go to the zoo,0
@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,0
When will Medhurst play again?,2
@Moss1982 bad times?,0
aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,1
Have to go to the dreaded DMV tomorrow,0
@duncm I'm a bit Ben's Thai-ed out,2
english class! working on interactive orals,3
@SharonHayes Thank you for the rec but that doesn't work,0
@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,2
My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,0
I don't know how ima work out tomorrow wit my body dis sore  ugh,0
in 7-11  w/o you,2
"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",2
I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,0
Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,0
I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,0
"Lady across the way had a miscarriage, say a prayer",0
God I just want to sleep.,0
@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??,1
I feel so deflated. No more doggy.,0
Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,0
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1
is feeling bad  just got bad news about my Mum,0
@RealBlackWidow But but I dun wanna,0
@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,0
"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",0
@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,2
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",2
don't feel like working  I think I tweet this too often!,0
feels sick to my stomach and idkk whyy,0
vineri...nimic special sau probabil un alt weekend pierdut...,0
Counting the hours of lost sunshine until the Weekend,2
@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,2
is home.  safely... but hungry,3
"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",0
"got to final table, but....went out third.  Don't think I'll be getting my free seat",0
good morning work this morning gutted lol nevermind,2
I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,1
FB is boring   and i wanna sing RIGHT NOW..! *-*,3
@judyrey  The link doesn't work,0
@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,2
The humpalow um ya I think so... Cell is dying,0
Last day at work...Sick to the bone,0
i feel like I'm on house arrest.,0
"love is like a war,,easy to begin, hard to end..fiuuhh...",2
@heavenjones ur supposed to be in BK tho,2
@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,0
Oh no!  Nighty night.,2
@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,3
my stupid tooooth hurts,0
@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,3
Ready To Go @ School,2
@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,0
@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,2
It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,0
@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,0
my dog ran awayyy,0
@all_is_one84 Those suck so bad.,1
"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",0
"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go",3
does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,0
I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!,3
@exortabreedoll what happen to the maids of yours? Quit once again? ...,2
I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,0
At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,1
@Penguin_J heehee. i love you! i am tired.,0
my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,0
@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,0
"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",0
"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",0
went to the beach and it started raining,2
"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",0
"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward...",3
@nayRyelgiuQ airport? and you didnt show up tonight homo!,2
@charloro jealous  it looks like schindler's list in toronto,0
I want another tatt,3
@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:,2
"So, I need to make a lot of money tomorrow",3
@joiskol  being in your room makes me sad.,0
