content,sentiment
"	@ashleighjessica @zacflint1 I'd give that pout the firm D	anger	0.500",3
"	@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing.	anger	0.604",3
"	@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao	anger	0.479",3
"	@AuntieSupreme @KimberlyCarole y'all found me to express yalls displeasure. 😉	anger	0.438",3
"	@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol	anger	0.146",3
"	@Austin4evaLEEDS fuming!	anger	0.625",3
"	@BarackObama I love Lizzy Warren's latest rage against Wall Street.	anger	0.177",3
"	@BearGrylls for your next series will u do a celebrity firefighting show and just chuck them all in a burning building and do the voiceover?	anger	0.458",3
"	@BigBrother__USA she is just jealous and a cry baby!  #gladsheisgone #crybaby	anger	0.438",3
"	@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby	anger	0.571",3
"	@BIGGKATZ BUT arms (focused rage) is overpowered, it will be getting nerfed. It'll still be stronger than fury though	anger	0.468",3
"	@billburr DirectTV is the best. Apparently you just sit in silent anger. 'Don't press or say anything'	anger	0.417",3
"	@bismahmalik .....Seems like a fight ready to rage on.....	anger	0.438",3
"	@BonesARP 'That is a disappointment.'\n\nHe fakes a pout, then starts to chuckle.	anger	0.438",3
"	@BosNaud so scared to ruffle feathers, he resorted to writing in cryptic code. #UncleCamsCabin	anger	0.500",3
"	@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror	anger	0.766",3
"	@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome	anger	0.688",3
"	@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR	anger	0.792",3
"	@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. 	anger	0.646",3
"	@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming	anger	0.875",3
"	@Callidissima @ahouseingotham wrath of khan is one of the best movies of all time	anger	0.146",3
"	@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits	anger	0.625",3
"	@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums #HissyFits	anger	0.646",3
"	@carefreeash_ id be fuming	anger	0.583",3
"	@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.	anger	0.604",3
"	@CBSBigBrother never bring back Meech and Bridgette. Crying because someone looks at you? Ugh, and Bridgette. 	anger	0.479",3
"	@CBSBigBrother never bring back Meech and Bridgette. Crying because someone looks at you? Ugh, and Bridgette. #bitter	anger	0.521",3
"	@cburt43 turn that frown upside down	anger	0.125",3
"	@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged  #yeller #quiet #screamer #😂😂	anger	0.521",3
"	@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #😂😂	anger	0.583",3
"	@CharlotteBnntt that's the joke. I know it's incense	anger	0.222",3
"	@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an 	anger	0.479",3
"	@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage	anger	0.688",3
"	@ChurdAllan fucked my coupon that goal! 	anger	0.667",3
"	@ChurdAllan fucked my coupon that goal! #raging	anger	0.729",3
"	@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail	anger	0.625",3
"	@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡	anger	0.667",3
"	@clarechampion @Westclarepage and peter your radio piece on off the ball was pure class , no digs , no revenge , a total balanced pro ! 👏👏👏	anger	0.438",3
"	@ColinOccupantz @JasnaBadzak @proremain and there was I thinking #UKIP were a party of angry old men - how wrong can you be!	anger	NONE",3
"	@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO 	anger	0.438",3
"	@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter	anger	0.517",3
"	@CorbettBarr @pjrvs @brianclark true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his porch.	anger	0.583",3
"	@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless	anger	NONE",3
"	@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30 	anger	0.125",3
"	@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh	anger	NONE",3
"	@CrayonToCrayon @SueScoby \nIt's always fun to anger 'All the Old Dudes.' with Rock N' Roll :))	anger	0.354",3
"	@crystaldiamondo impossible to say. We can only hope that I don’t unwittingly trigger her ferocious side again. Hell hath no fury..	anger	NONE",3
"	@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction	anger	NONE",3
"	@cxmbeferre so you WOULDNT date me????? 	anger	0.458",3
"	@cxmbeferre so you WOULDNT date me????? #offended	anger	0.494",3
"	@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of",3
"	@danbloom1 beware the fury of a weak king	anger	NONE",3
"	@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! 	anger	0.417",3
"	@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter	anger	0.472",3
"	@danrafaelespn no Tyson fury beat the man who been at top for years Danny Garcia should be above Bradley pacquaio frampton	anger	0.479",3
"	@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.	anger	0.562",3
"	@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh	anger	0.817",3
"	@Darren_Hammer amen, nothing personal mate, just tired of all of the complaining from our fans, it's Been a relentless tirade of misery	anger	0.542",3
"	@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.	anger	0.667",3
"	@Deadspin @jrzy_boy This is about him being left off because they wanted to play a heavier game. We needed his offense tho. Amongst others.	anger	0.542",3
"	@Deadspin @Rlblack1Rob My guess is he's just a convenient target for misplaced anger.  What they're really mad at is how they played.	anger	NONE",3
"	@DeltaDomain @SawDraze @qurions dis dat nigga from fume right?	anger	0.417",3
"	@deshbhakthoon always unhappy and easily offended.	anger	0.531",3
"	@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! 	anger	0.583",3
"	@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming	anger	0.646",3
"	@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳	anger	0.646",3
"	@DJ_JeanFranko growl!!!	anger	NONE",3
"	@djddueces jojo at 12:30 and not midnight lets rage WRYYYYYY	anger	0.542",3
"	@DL_Hart @DonnieDollars @AaronBiggsPro @WWENoWayJose @cwfmidatlantic How did that chop feel? You still feel the sting of it? Looks brutal!	anger	0.462",3
"	@dlrwills turn that frown upside down buddy 🙃.	anger	0.375",3
"	@DMAnthonyJoseph @TheClumpany No grudge. Only truth in abundance.	anger	0.271",3
"	@Docjp they unleashing God's wrath just as Cain did	anger	0.417",3
"	@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC	anger	NONE",3
"	@donna_bellav @SoniaRayS @gig_aholic He looks especially lovely. Sadly, I do not *removes potentially indignant Mr D from convo*	anger	0.417",3
"	@DouthatNYT @jbouie @DamonLinker Yes, it is bad to point out racism lest it provoke the racists.  Some racists do indeed not like it.	anger	0.542",3
"	@DPD_UK I asked for my parcel to be delivered to a pick up store not my address  #poorcustomerservice	anger	0.625",3
"	@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice	anger	0.896",3
"	@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!	anger	0.479",3
"	@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --	a",3
"	@EagleGiles23 @tgilmore_92 what I miss? 	anger	0.146",3
"	@EagleGiles23 @tgilmore_92 what I miss? #outrage	anger	0.562",3
"	@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? 	anger	0.333",3
"	@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? #madden	anger	0.458",3
"	@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? 	anger	NONE",3
"	@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling	anger	NONE",3
"	@edquinn63 how can you even forget to pick ur fave child up from school 	anger	0.396",3
"	@edquinn63 how can you even forget to pick ur fave child up from school #offended	anger	0.688",3
"	@EE whats with the 50p a minute charge to 150, insult to injury	anger	NONE",3
"	@eMilsOnWheels I'm furious 😩😩😩	anger	NONE",3
"	@eNCA what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall	anger	0.542",3
"	@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -	anger	NONE",3
"	@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! 	anger	0.375",3
"	@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge	anger	0.479",3
"	@everycolorbot more like every color looks the same #triggered #colorblind 	anger	0.396",3
"	@everycolorbot more like every color looks the same #triggered #colorblind #offended	anger	0.542",3
"	@ezlisteningdisc it doesn't offend me but it's just,,, Weird.	anger	0.188",3
"	@FakingALeto Gerard finally made it up the stairs with a little huff, his face a little more red than it was before. Having little legs --	anger	NONE",3
"	@feistyarcher -trouble,' he feigned anger and gave her a look that told her to behave. He knew she wouldn't though, and that was one of -	anger	0.417",3
"	@fireemblemlord it's the first expac since wrath that feels like a proper 'evolution' of the game for me	anger	0.542",3
"	@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply	anger	0.864",3
"	@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay	anger	0.708",3
"	@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay	anger	0.750",3
"	@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp	anger	0.458",3
"	@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows	anger	NONE",3
"	@fluffysoftlouis no no. I insist that you give me your best insult first	anger	NONE",3
"	@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.	anger	0.688",3
"	@Freepenalties @TMortimerFtbl Doll is a vile creature on the touchline. Every game he has tantrums &amp; shouts at the ref. Would love to see	anger	0.479",3
"	@FrizzeyesJr meeee, i'm lvl 320 and i have not a single relentless	anger	0.271",3
"	@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.	a",3
"	@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky	anger	0.667",3
"	@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.	anger	0.792",3
"	@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. 	anger	0.521",3
"	@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger	anger	0.688",3
"	@girlsreallyrule Both Trump + King are relentless self-promoters who don't give a rip about anyone else. A perfect match for both Donalds.	anger	0.521",3
"	@GreyTheTick But even if I jumped through that hoop, it just takes one irate netizen to decide me playing by 'the rules' isn't enough.	anger	0.375",3
"	@GriffinBowie23 @AliMcClimond sorry to #offend u griffin!!	anger	0.479",3
"	@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town	anger	0.688",3
"	@GrxjicTank WHY though! Why did u want to offend Americans?	anger	0.625",3
"	@healeyraine I'm offended, I actually am	anger	0.479",3
"	@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.	anger	0.521",3
"	@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !	anger	0.458",3
"	@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood	anger	0.538",3
"	@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with",3
"	@Hoopdawg87 @MickThePerm Meanwhile white cops keep killing black people. But there's less outrage about that. Strange society that.	anger	0.500",3
"	@hoytschile fury road!!	anger	0.438",3
"	@HuffPostUK  NO greater wrath than a woman scorned.	anger	0.458",3
"	@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. 	anger	NONE",3
"	@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming	anger",3
"	@iamsrk what's up w the gender bias? #indignant This fancypants saddler's daughter will opt for the leather jacket, thank you very much.	anger	0.500",3
"	@Idubbbz @LeafyIsHere  I am offended	anger	0.542",3
"	@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.	anger	NONE",3
"	@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can -	anger	0.304",3
"	@IndigoHawthorne Then u understand that rage is often not pretty, or controlled or rational - it is often visceral-not always logical.	anger	0.479",3
"	@IrishTimesPol @IrishTimes Irish citizens boiling drinking water in 2016 leaves one foot firmly in the bog!	anger	0.542",3
"	@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best",3
"	@iStoleFreeHugs @stephlaris lol I'm happy with my negative, realistic ass self. Sorry to offend you	anger	0.438",3
"	@jaaames1993 Literally burst out laughing.	anger	0.067",3
"	@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing	anger	NONE",3
"	@JamieRJN She's all over the political map in her relentless pursuit of power.	anger	NONE",3
"	@jamiesonhelen @MarianKeyes all three of my agin's on the pout .	anger	0.296",3
"	@JankHambrams You sound like my husband @Enistachia ... he makes hotter and hotter sauce - the fiery torment brings him mouth-joy! 🔥	anger	NONE",3
"	@JaredLeto Jared + #snap? 💘	anger	0.188",3
"	@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis 	anger	0.500",3
"	@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry	anger	0.583",3
"	@jaybusbee Well, not Archie. No offense but he's kinda old.	anger	0.396",3
"	@JBCrewdotcom how his own fans insult him	anger	0.417",3
"	@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle",3
"	@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.	anger	0.708",3
"	@jessebwatters lol. Love it when you aggravate Juan. Keep up the good work. Lol	anger	0.242",3
"	@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?	anger	NONE",3
"	@jetmissTee I thought I peeped him on your snap. That's the homie ✊🏽 lol	anger	0.271",3
"	@JoeGoodmanJr. A solution. But the assumptions by media in articles and every other venue causes animosity to the conversation.	anger	0.354",3
"	@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. 	anger	NONE",3
"	@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. #fuming	anger	NONE",3
"	@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. 	anger	0.491",3
"	@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage	anger	0.521",3
"	@JohnKerry can be as indignant as he wants but the world knows Obama will do nothing and Putin will just do what he wants #Aleppo #Syria	anger	0.479",3
"	@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol	anger	0.389",3
"	@josefcd904 @Reddou_Kun @deven_luca @supersoniclemon He also likes incurring Lily's wrath.	anger	NONE",3
"	@josephperson Cam is still rattled from the backlash he received when he made the black QB comment and suffered the wrath of White America.	anger	0.396",3
"	@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!	anger	0.750",3
"	@judahandthelion TONIGHT. Legit can't wait to rage 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🔥	anger	0.417",3
"	@judy_that Im honestly offended	anger	0.604",3
"	@JuliaHB1 Bloody right 	anger	0.562",3
"	@JuliaHB1 Bloody right #fume	anger	0.500",3
"	@justinbieber Thank u Justin for this amazing concert. I can't believe that only u can provoke these thousand smiles these night#BelieveTour	anger	0.312",3
"	@JustinRow10 dude the new madden 17? Haha	anger	0.231",3
"	@JustPyroNow are you gonna do any kind of community raids when wrath of the machine drops?	anger	0.375",3
"	@justyne_haley it does. if one person ruins season 13 for me, I will be so angry	anger	0.729",3
"	@jwolfie_ why you gotta use the dark skin emoji 	anger	0.479",3
"	@jwolfie_ why you gotta use the dark skin emoji #offended	anger	0.525",3
"	@kateracculia @themathofyou It's true! I reverse-engineered the drink. It's a scientific method. I hear it's all the rage.	anger	0.333",3
"	@KatzeAnilothei this amount of greedy mooching makes me snarl.	anger	0.750",3
"	@keithboykin unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec	anger	0.521",3
"	@kencurtin they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult	anger	0.458",3
"	@kerrybowen_ you have anger issues!	anger	0.500",3
"	@KevinI @GGGBoxing @SpecialKBrook pretty average, klitschko fury did about 600k and Joshua white did about 450k	anger	0.417",3
"	@Kim_is__bored exactly what I have been saying on fb.. 	anger	0.354",3
"	@Kim_is__bored exactly what I have been saying on fb.. #bitter	anger	0.479",3
"	@KimLy resent	anger	0.521",3
"	@kingcharles9th i Lowkey forgot you had twitter and if you don't follow me back im gonna be 	anger	0.417",3
"	@kingcharles9th i Lowkey forgot you had twitter and if you don't follow me back im gonna be #offended	anger	0.421",3
"	@KingNicky7 also madden isn't the funniest game to watch and if there isn't much happening it's boring	anger	0.250",3
"	@kingvee_ don't provoke me to anger	anger	0.708",3
"	@kitanoye Hell is hot and boiling, isi ewu	anger	0.458",3
"	@Klipto the orange one is #poisonous and #bitter. You shouldn't judge the #blue one by how it looks but by how it tastes, #delicious.	anger	0.312",3
"	@KodieBurch yesss..apparently you've been popular on snap 🙄	anger	0.333",3
"	@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃	anger	NONE",3
"	@l1ght__eyes u tried boiling em takes years too	anger	0.354",3
"	@LaraTheIrish &lt; feel everything. She would remember everything. Evanora hoped this would serve to fuel the creatures anger and run rabid &gt;	anger	0.479",3
"	@laura221b I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷	anger	0.521",3
"	@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm th",3
"	@leener00 @libbyfloyd1 @G_Eazy my snap is andriaprebles ❤️	anger	0.271",3
"	@leesyatt you are a cruel, cruel man. #therewillbeblood 	anger	0.775",3
"	@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge	anger	0.840",3
"	@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!	anger	0.792",3
"	@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;)	anger	0.583",3
"	@len_snart gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He-	anger	0.458",3
"	@LeonWobYP b***er off. NCFC is a grudge match :)	anger	NONE",3
"	@Lesdoggg take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that.	anger	0.271",3
"	@lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.	anger	0.583",3
"	@lethargytyler ehhh I guess. I want to everyone I've ever burst out laughing in front of😂	anger	0.333",3
"	@Lexual__ @jdspielman10 RIP to the 100s of black men,, women,CHILDREN killed in Chicago. Where is the outrage?	anger	0.562",3
"	@LiamCannon1 He's just too raging to type properly... Ha ha!	anger	NONE",3
"	@LickMeLucas ...I'm waiting for you to figure out I'm like... from 0 to 100 real quick with the irritation.	anger	0.604",3
"	@LisaAsquithtobe @craig8710 @WayneHaselden @june65wigan everyone is against wigan because we are the biggest club 	anger	0.354",3
"	@LisaAsquithtobe @craig8710 @WayneHaselden @june65wigan everyone is against wigan because we are the biggest club #bitter	anger	0.562",3
"	@LonelyGoomba I wouldn't bring this up if I were you. It's a very touchy subject. And people get way to offended these days	anger	0.328",3
"	@louiseannexx u fucked my house up I'll always hold a grudge	anger	NONE",3
"	@LouisFil just curious as to what you mean. No rush, no animosity, no disdain.	anger	0.458",3
"	@luxbet Did you even give out any pizzas ? Serious fail #hungry  #hangry	anger	0.400",3
